,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1967,646.5,575.9,663.9,NA,586,NA,1911.4,NA,645.7,421.5,1136.1,1073.9,1468.4,1213.9,NA,1222.7,1053.9,1171.3,866.8,672.9,NA,1125.6,1348.4,NA,NA,1996.1,NA,NA,693.9,NA,169.8,NA,50.6,399.6,518,180.3,NA,NA,777.6,NA,NA,1307.3,306.9,313.3,150.4,NA,256,47.6,NA,NA,NA,238.1
1968,383.9,364.6,402.7,NA,351.5,NA,1746.7,NA,202.8,NA,843.5,749.4,1456.6,1050.3,NA,1064.1,923.5,918.2,750.6,517.6,NA,990,1402.6,NA,NA,1815.9,NA,NA,852.5,NA,293.2,NA,NA,532.7,801.7,269.5,NA,NA,718.7,NA,NA,NA,141.1,281.1,NA,NA,296.9,NA,NA,NA,NA,303.2
1969,487.9,499,492.6,NA,466.9,NA,1715.2,NA,601.7,1232.1,962.3,908,1456.1,1070.3,NA,1106.7,856.3,879.8,752.4,651.1,NA,1072.8,1053,NA,NA,1518.3,NA,NA,717.1,NA,224.6,NA,NA,235.1,485.8,165.6,NA,NA,682.6,NA,NA,NA,NA,224.6,NA,NA,192.2,NA,NA,NA,NA,149.9
1970,446.8,399.2,459.8,NA,429.2,NA,1789.9,NA,718.9,1298.1,795.4,747.3,1539.4,1371.8,NA,1119.3,948.1,1056,939.1,569,NA,1161.1,1237.3,NA,NA,1731.7,NA,NA,772.5,NA,134.9,NA,13.5,NA,858.1,234.2,NA,NA,776.9,NA,NA,NA,NA,NA,NA,NA,194.8,NA,NA,NA,NA,152.4
1971,363.2,320.6,349,NA,288.1,NA,1673.3,NA,549.5,1105.1,631.8,664.7,1301.6,1070.7,NA,952.3,886.9,914.1,802.6,520.5,NA,1067.8,1191,NA,NA,1565,NA,NA,729.8,NA,NA,NA,98,257.3,1026,222.7,NA,NA,811,NA,NA,NA,147.9,NA,NA,NA,240.8,NA,NA,NA,NA,174.6
1972,522.4,463.5,491.7,NA,440.9,NA,1835.9,NA,718.9,1208.3,810,859.4,1344.7,1068.4,NA,1060.7,820.1,849.1,841.2,628.8,NA,963.1,1294,NA,NA,1455.3,NA,NA,840.5,NA,NA,NA,86.7,433.2,621,175.9,NA,NA,822.2,NA,NA,NA,163.6,NA,NA,NA,169.8,NA,NA,NA,NA,127.4
1973,472.7,459.1,419.7,NA,383.9,NA,1670.9,NA,586.6,1206.9,640.5,683.7,1504,1056.4,NA,1027.7,889.3,933.5,847,469.1,NA,928,1123.7,1250.3,NA,1543.9,552,NA,860.1,NA,241.8,79.8,72.5,319.2,974.9,128.7,NA,NA,969.9,NA,NA,NA,126.5,NA,NA,NA,152.3,NA,NA,NA,NA,158
1974,627.1,615.9,614.6,NA,564.9,NA,1742.2,NA,751.2,1198,917.1,896.4,1388.2,1065.7,NA,1013,953.6,976.1,838.1,545.9,NA,962.6,1211.2,1345.1,NA,1363.5,624.6,NA,798.7,NA,280,227.6,91.1,462.2,727.5,197.6,NA,NA,617.9,NA,NA,NA,190.6,NA,NA,NA,214.7,NA,NA,NA,NA,186.8
1975,564.2,541,547.1,NA,473.6,NA,1690.2,NA,661.3,1286,833.3,796.1,1439.1,1103.8,NA,1158.5,1047.1,1019.1,924.9,602.2,NA,1082.7,1349.1,1463.4,NA,1483.5,886.9,NA,821,NA,359.4,264.3,110.1,419.1,583.7,248.1,NA,NA,717.6,NA,NA,NA,262.3,NA,NA,NA,242,NA,NA,NA,NA,181.1
1976,499.6,427.5,496.1,NA,413.9,NA,1819.1,NA,750.8,1296.4,821.8,871.4,1370.7,1091,NA,1211.3,1001.8,1017.8,927.2,656.3,NA,1075.2,1026.8,1046.8,NA,1210.1,387.4,NA,694.8,NA,285.8,239.2,102.3,314.9,574.9,179.3,NA,NA,611,NA,NA,NA,232.8,NA,NA,NA,184.1,NA,NA,NA,NA,105.5
1977,436.8,378.8,416.6,NA,368.6,NA,2248.6,NA,702.5,1389.6,853.3,822.1,1403.8,1091.5,NA,1468.4,963.3,1200.2,1048.9,629.9,NA,1327.2,1061.5,1173.7,NA,1335.2,482.7,NA,700.6,58.4,267.9,192.9,74,340.9,579.4,154.9,NA,NA,865.3,NA,NA,NA,157.6,NA,NA,NA,106.9,NA,NA,NA,NA,153.7
1978,725.2,678.3,662.6,NA,575.8,NA,1841.2,NA,611.9,1188.9,826.6,758.5,1379.3,1078.5,NA,1176.8,901.9,1039.7,841.1,524.4,NA,1050.9,1706.2,1553.7,NA,1663.2,1266.8,NA,776.6,252.3,334.2,270.1,108.7,365.5,858.8,223.8,NA,NA,917.4,NA,NA,NA,251,NA,NA,NA,156.2,NA,NA,354.7,NA,124.5
1979,405.4,296.6,365.7,462.4,266.6,NA,1806.7,NA,516.7,1254.8,758.5,712.4,1367.6,1014.5,NA,1280.7,880.7,950.5,892.2,526.7,NA,1009.9,1101.1,1146.4,NA,1389.6,627.5,NA,740.2,165.6,230.7,179,87.5,258.9,457.8,161.2,198.7,NA,852.1,NA,NA,NA,194.1,200,62.6,NA,99.6,NA,135,310.8,NA,92.5
1980,395.2,299.2,393.7,549.4,304.1,1055.7,1859.9,1693.4,636,1224.9,730.3,766.4,1278.2,929.4,1259.8,1152.4,827.8,935.5,870.4,539.2,1715.5,1013.8,1125.2,1126.8,1174.2,1315.4,578.2,643.7,793.7,173,230,163.5,62.6,253,384.7,168.8,439.5,1097,968.3,1484,1777.1,969.8,272.5,256.9,227.1,811.4,144.5,49.6,196,362.7,44.3,192.6
