,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1965,381,305.8,429.6,1335.9,342.9,1340.3,2162.9,2122.1,780.8,1380.4,906.9,847.7,1500,1241.8,1466.3,1324.1,1002.2,1032.1,1079.2,623.6,2726.9,1325.5,1285.2,NA,1698.9,751.7,NA,1497,1174.6,NA,399.2,NA,222.6,555.8,NA,443.2,1290.6,1295.6,791.1,2673.8,2585.5,1622.3,194.4,254.7,501.6,1348.5,230.6,105.9,212.1,NA,178.2,254.8
1966,297.4,247.9,347.3,1310.1,273.7,1356.7,2063.2,2040.1,787.5,1335.2,925.7,839.2,1523.8,1221.8,1451.1,1350.5,923.5,1029.2,961.4,628.4,2480.5,1181,1618.2,NA,1390.3,1979.8,NA,1258.3,1079.7,NA,408.4,NA,207.4,422,NA,255.3,1101.5,1092.3,621.5,2221,2134.7,1324.1,129.2,162.8,292.6,1113.7,131.1,58.9,144.5,NA,130.7,145.9
1967,562.2,502.7,688.9,1568.5,528.9,1506.1,2521.3,2440.7,1182.9,1665.2,1324.6,1216.5,1756.4,1338.4,1774.5,1544.1,1087.7,1241,1066.3,858.7,2793.3,1415.9,1730.7,NA,1685.2,2354.9,NA,1478,1220.6,NA,308.5,NA,206,442.3,1256,398.8,1139.1,1448.8,973.2,2443.1,2458.2,1836.7,266.3,286.2,423.1,1415.2,213.1,127,187.2,NA,337.7,286
1968,296.1,267.8,382.9,1338.5,301.8,1275,2266.7,2169.7,835.6,1350.6,967.9,924.3,1537.8,1205.8,1566.9,1341.9,936.7,1046.6,934.4,641.6,2581.4,1290.3,1795.1,NA,1605.8,2201.2,NA,1399.4,1206.2,NA,391.3,NA,220.9,463.1,1292.8,426.4,1425.4,1340.6,779.3,2215.6,2538.1,1641.1,234.8,246.4,355.3,1333.3,203,83.4,150.6,NA,263.2,276.9
1969,450,402,509.8,1201.5,431.4,1312,2107.9,2026.3,1015.2,1454.1,1151.6,1123.3,1461.7,1164.2,1351.1,1305.3,864.8,973.6,873.2,779.3,2239.7,1157.6,1341.5,NA,1299.4,1814,NA,1186.3,908.3,NA,259.2,NA,171.9,350.1,1006.6,300.1,936.3,1015.7,613.7,2037.9,2050.3,1354.1,149,165.8,282.2,1152.1,142.5,64.1,97.1,NA,231.7,217.1
1970,336.1,293.9,428.1,1356,335.6,1424.1,2363.8,2362.6,855.4,1569.5,1009.8,1035.5,1665.2,1414.9,1613.4,1391.4,999.7,1136.7,1069.9,715.1,2629,1452.3,1511.2,NA,1486.9,1958.4,NA,1269.2,995.7,NA,309.8,NA,178.6,438.2,1142.7,362.3,1135.5,1205.7,772.7,2368.2,2396.5,1605.6,192.9,221.4,350.8,1318.1,132.9,78.3,121.7,NA,219.6,256.9
1971,226.8,201.8,303.3,1177.3,240.1,1247.6,2110.5,2083.1,670.3,1325.1,770.4,813.5,1405,1189.8,1437.1,1259.5,881,990.5,911.2,567.7,2455.3,1212.8,1493.2,NA,1557.1,2006.9,NA,1357.8,1001.1,NA,323.2,NA,200.4,459.3,1363.1,415.5,1009.9,1392,934.1,2413.6,2812.1,1959.8,289.3,332.4,553.1,1423.2,257.1,170.5,241.8,NA,187.8,252.9
1972,358.7,328.5,437.5,1265.7,373.6,1307.2,2174,2027.3,850.1,1362.1,929.9,973.6,1426.6,1116.7,1424,1293.6,840,922.8,942.5,722,2365.8,1110.7,1503.4,NA,1406.5,1905,NA,1191,876.5,NA,255.5,NA,138.5,358.9,1046.5,275.7,956.1,1134.1,717.9,1966.9,2422.5,1461.8,155,195.7,430.5,1173,144.9,62.2,107.1,NA,199.7,195.9
1973,305.7,264.2,376.5,1303,315.9,1400.1,2189.2,2073.1,707.9,1351.3,757.1,798.5,1604.4,1029,1420.9,1293.9,882.2,980.5,894.9,519.8,2429.9,1169.5,1463.9,1469.2,1403.2,1987,803.9,1163.6,963.8,NA,231.7,84,100.7,321.6,1227.5,301.4,1062.6,1432.4,855.3,2094.5,2285.8,1663.4,153,202.7,409.6,1278,137.4,74.5,127.2,NA,138.1,209.8
1974,693.9,583.5,662.3,1452.5,588.4,1440.7,2314.7,2134.5,938.2,1421.5,1077.4,1144.8,1479.2,1054.8,1529,1322.2,948.9,1045,1001.5,721.4,2343.4,1224.9,1427.6,1466.9,1272,1722.5,795.2,1098.4,819.9,NA,276.3,202.4,137.3,357.1,1185,343.5,952.6,1078.1,598.6,2344.4,2309.4,1335.2,166.8,187,289.5,1075,138.3,58.5,146.1,NA,293.1,268
1975,534.6,441.4,524,1398.5,438.5,1385.8,2273.6,2263.5,807.1,1423.6,902.5,896.1,1424,1073.9,1589.9,1361.5,999.9,1068.2,1008.3,687.9,2559.4,1282.3,1714.7,1552.9,1407.7,1861.1,1067.4,1252.6,935.7,NA,341.4,251,184.8,411.8,1053.4,363,1007.9,1200.6,719.4,2531.5,2447.6,1535.1,214.3,211.7,345.7,1199.1,181.9,94.2,149.1,NA,251.7,267.8
1976,380,301,443.3,1255.3,342.4,1426.2,2334.8,2187.3,894.4,1508.6,980.3,1014,1392.9,1040.4,1588.4,1490.9,942.5,1045.2,1026.9,734.7,2452.2,1260.7,1328.8,1315,1191.6,1701.7,551.2,1033.4,780.8,NA,276.2,209.2,154.4,335.7,952.7,294.6,867.1,1008.8,571.9,2053.7,2265.2,1377.4,168.7,146.1,289.4,1142.2,146.7,62.1,110.1,NA,259.7,215.8
1977,426.3,382.7,470.6,1315.2,401.5,1363.5,2457.1,2512.7,804.9,1543.4,955.6,936,1431.6,1116.7,1604.9,1657.6,954.9,1138.4,1118.6,715.1,2541.2,1432.4,1263.4,1459.2,1363.3,1831.4,580.9,1194.9,862.2,87,279.3,197.8,137.6,313.7,972,271.6,823.4,1189.9,830.5,2705.3,2469.5,1739.1,174,211,388.2,1379.3,168.5,77.8,145.1,NA,273,256.5
1978,616.4,619.4,681.5,1327,626.9,1314.8,2307.7,2164.6,744.4,1367.8,835.3,862.1,1422.1,1065.1,1526.1,1416.8,910,1043.9,933.1,589.9,2482.7,1215.7,2046.2,1890.2,1565,2064.3,1305.5,1372.2,1085.3,300.8,351.1,280.4,215.4,414.5,1256.7,372.6,1136.2,1471.8,797.2,2573.2,2451.5,1597.1,240.1,250.6,476,1328.9,223.6,100.4,203.5,582.5,201.1,279.2
1979,241.1,176.4,288.7,1184.2,214,1311.3,2161,2080.2,703.6,1418.3,819.4,769,1337.3,987.2,1398.2,1496.2,870.3,979,912.8,542,2462.3,1166,1680.9,1453.4,1410.5,1956.7,816.1,1241.5,985.5,240.8,308.8,243.4,190.4,378.9,1065.4,305.7,915.2,1316.1,639.4,2141.3,2352.8,1433.9,157.4,185.8,345.7,1289.8,145.1,73.7,140.7,498.9,146.2,229.6
1980,299.9,256.3,361.7,1114.2,292.8,1250.1,2171.4,2130.9,720.6,1410,824.9,853.9,1252.5,921.5,1396.2,1469,788.1,919.9,871.3,590,2407.7,1146.4,1424.8,1391.8,1409.9,1898.1,802.9,1223.1,1055.8,180.4,245.4,216.1,135.7,356.7,1028.6,316,932.7,1277.3,686.2,2045.2,2329,1434.5,194.6,199,325.9,1218.2,158.8,66.5,165.4,542.8,223,277.7
1981,383.6,322.7,443.2,1251,360.1,1324.8,2198.1,2092.8,899.1,1426.7,995.5,1025.7,1300.3,963,1453.7,1462.2,862,955.3,884.1,620.7,2489.5,1096.8,1582.1,1564.2,1546.7,1917.1,911.7,1350.4,1177.1,285.9,408.8,378.2,262.9,500.4,1345.3,472.3,1046.8,1206.6,833.7,2069.4,2520.2,1619.2,205.5,210.7,373.8,1363.8,150.1,84.4,148.5,537.9,166.5,180.3
1982,273.6,222.8,392.6,1277.8,298.2,1250.1,2068.8,2108.5,683,1374.1,775,798.1,1248.1,937.6,1468.6,1601.6,841.9,950.6,994.2,584.3,2542.1,1194.5,1467.9,1560.7,1471.3,2007,866.8,1248.2,961.7,181,301,278.2,197.6,404.2,1370.7,374.8,977.1,1149.5,700.9,2229.3,2378.6,1465.7,265.5,259.8,403.6,1359.6,223.5,131.5,207.9,581,177,222.4
1983,334.6,293.5,454.3,1390.3,364,1432.3,2352.1,2246.5,777.3,1505.2,849.8,921.1,1567.5,1239.6,1650.4,1625,1051.1,1178.6,1116.5,630,2765.3,1412.5,1741.7,1759.6,1654.4,2306.7,980.6,1483.1,1138,317.8,428,346.4,254.7,502.2,2569,453.1,1219.7,1560.3,910.4,2514.6,2728.3,1720.3,308.3,330.9,515.2,1422.5,263.9,125.9,250.2,708.4,286.3,325.5
1984,569.9,493.8,581,1363.8,542,1378,2209.2,2125.8,996.7,1483,1054.2,1137.3,1358.5,1014.6,1440.7,1422.1,909.4,1002,940.8,733.2,2367.8,1155.3,1293.3,1348.1,1173.4,1656.8,708.4,1027.6,772.4,153.7,254.6,156.3,106.8,264.4,962.6,254.9,885.8,1042.9,531.8,1864.2,2026.1,1199.4,100.7,109.1,196.5,977.9,84.2,57.7,80.1,366.1,361.9,145.3
1985,348,266.5,356.7,1199.4,312.2,1270.6,2026,2048.8,860.1,1396.6,916.7,926,1353.9,983.7,1451.7,1313.9,837.6,941.2,906.7,536.2,2797.8,1172.2,1268.2,1325.9,1294.1,1846.3,855.9,1120.3,808.7,202,269.2,216.3,127.3,366.9,951.5,272.5,952.1,1260.4,755.3,2670.2,2593.8,1526.2,184.8,210.6,375.1,1274.1,159.7,91.6,135.5,519.5,222.5,189.5
1986,274.8,222.9,337.9,1301.8,291.4,1303.2,2156.2,2223.9,794.2,1422.7,873.8,908.5,1420.9,1051.5,1540.5,1391.6,902.2,964.8,1015.1,593.3,2491.5,1242.4,1562.8,1476.8,1350.8,2006.3,876,1299.7,893.4,229.6,310.1,232,120,375.5,1063.5,281.1,980.5,1209.7,700.9,2461.9,2300.3,1440.5,139.9,135.3,291.5,1208.6,118.6,78.3,114.9,511.2,168.5,145.1
1987,271.9,213.2,298.1,1005.1,265.6,1033.4,1838.4,1841.6,541.7,1187.1,608.3,633.8,1049.5,800.1,1230.1,1114.4,656.1,737.5,730.7,363.9,2254.8,1001.2,1522.1,1727.7,1189.8,1729.8,766.7,1201.2,903.2,241.8,322.1,261.8,165.2,406.2,1011.6,288.3,1171.8,1141,655.2,1962.4,2405.1,1346,173.4,183.7,372.2,1066.5,171.1,75,156.5,438.5,97.2,99
