,Pishan,Hetian,Minfeng,Mangya,Yutian,Lenghu,Tuole,Yeniugou,Zhangye,Qilian,Shandan,Yongchang,Dacaidan,Delingha,Gangcha,Menyuan,Nuomuhong,Dulan,Qiabuqia,Xining,Wudaoliang,Xinghai,Shiquanhe,Gaize,Bange,Anduo,Pulan,Shenzha,Dangxiong,Lazi,Rikeze,Nimu,Lasa,Jiangzi,Cuona,Longzi,Pali,Zaduo,Yushu,Maduo,Qingshuihe,Shiqu,Changdou,Dege,Ganzi,Seda,Daofou,Maerkang,Xinlong,Zuogong,Kangding,Deqin
1965,4733.2,4863.7,4564.3,1755.7,4643.5,2385.4,1109.7,948.7,3566.2,1707.8,3285.5,2751.7,1903.8,2407.4,1232.7,1395.2,2580.4,2070.7,2141.6,2826.5,393.7,1507.7,1402.5,NA,905.1,NA,NA,1137.1,1442.6,NA,2538.7,NA,2659.9,2043.4,NA,2030.3,944.7,1208.5,1677.6,679.1,531.6,877.9,2734.8,2364.8,2181.9,1174.3,2794.9,3047.4,2471.4,NA,2683.7,1862.1
1966,4649.2,4724.8,4588.8,1741.9,4590,2355.5,1119.2,991.4,3370.9,1710.3,3107,2663.5,1964,2444.8,1330,1486.9,2609.3,2102.4,2229.4,2843.2,491.6,1680.6,1359.4,NA,1012,893,NA,1167.2,1481.6,NA,2626.7,NA,2902.1,2149.5,NA,2156.6,1034.3,1386.3,1869.6,849.8,665.8,1014.2,3010.1,2586.3,2439.2,1256.8,3124.6,3293.6,2795.9,NA,2877.1,1946.6
1967,4600.8,4617.7,4391.2,1718.4,4460,2287.1,1092.1,973.4,3383.9,1746.2,3095.9,2620.3,1859.2,2257.9,1247.9,1612.7,2449.5,1886.2,2126.4,2639.1,448.9,1533.1,1455.9,NA,976.5,850.6,NA,1143.7,1423.2,NA,2478.5,NA,2712.2,2021.9,923.5,2039.3,951.2,1316.8,1756.7,761.1,644,1008.3,2786.2,2486,2410,1259.7,3071.3,3225.7,2846.4,NA,2845.1,1868.1
1968,4802.7,4801.1,4503.6,1797.7,4626.1,2274.9,1070.4,927.4,3360.6,1727.7,3093.4,2547.7,1935.1,2351.9,1221.6,1582.1,2492.7,2039.8,2165.7,2682,425.3,1559.1,1478.2,NA,975.9,838.4,NA,1102.5,1456.4,NA,2380.3,NA,789.6,1755.9,939.1,2076.9,966.3,1325.6,1688.2,720.4,597.1,968.9,2743.5,2431.7,2272.2,1157.4,2972,3049.8,2830,NA,2720,1896.9
1969,4863.1,4832.1,4632.3,1970.9,4700.8,2487.4,1158.8,1017.2,3431.4,1777.5,3214.5,2761.5,2055.6,2431.2,1369.3,1758.1,2706.5,2143.4,2402.5,2932.8,505.3,1720.6,1449.3,NA,984.2,851.3,NA,1174.3,1478.3,NA,2582.9,NA,2896.1,1797.8,968.7,2203.5,1012.8,1396.1,1899.3,791.3,648.9,1061.2,2650.1,2755.5,2535.2,1306.5,3186.1,3349.3,3098.5,NA,2759.7,2053.2
1970,4828.8,4834.2,4449.7,1851,4590.5,2271.4,1072.5,991.6,3255.9,1696,3063.6,2570.2,1878.2,2155.8,1247.8,1574.9,2428.1,1923.8,2167.6,2640.4,518.4,1598.7,1641.3,NA,1045.1,896.3,NA,1196.6,1547.1,NA,2588,NA,2969.8,2189.2,1037.8,2242.9,1096.5,1357.1,1771.9,763.5,647.4,1037.4,2767.3,2524.1,2307.3,1218.1,3003.4,3185.3,2873.6,NA,2707.3,1930.1
1971,4754.4,4851,4556.8,1854.7,4669.7,2367.7,1162.1,1021.4,3356.1,1745.5,3095.9,2665.3,1999.5,2402.2,1356.2,1680.4,2636.7,2113.2,2359.5,2846.3,528.9,1740.4,1653.4,NA,1003.8,843.6,NA,1167.3,1480,NA,2460.7,NA,2855.9,2048.6,953.6,2107.5,963,1377.9,1886.3,835.7,638.1,1017.6,3067.5,2670.1,2486.4,1281.4,3136.7,3236,3046.7,NA,2855.1,2034.3
1972,4549.3,4633.9,4445.4,1902.3,4503.6,2431.9,1238.3,1101.3,3418.9,1811.9,3210.2,2708.2,2086,2560.2,1416.7,1749.8,2719.7,2277.4,2456.7,2933.9,616.7,1796.2,1460.9,NA,1108.6,974.5,NA,1277.3,1611,NA,2755.5,NA,3022.2,2210.8,983.5,2231.7,1028.3,1427.6,1918.3,949.7,747.1,1042.4,3006.3,2685.9,2510.9,1287.6,3041.4,3260.7,2948.8,NA,2900.8,2001
1973,4945.9,5012.6,4667.9,1928,4843.4,2270.1,1166.7,1000.2,3392.1,1758.2,3177.1,2686.3,2003.1,2464.8,1357.6,1672.5,2674.3,2155.4,2392,2840.1,521.3,1716.9,1683.5,1489.2,998.1,917.2,2092.4,1206.2,1593.7,NA,2645.6,1554.8,2951.7,2196.1,1026.8,2310.7,1065.7,1398.9,1850.6,773.1,605.2,944.1,3003.2,2757.9,2491.9,1260.1,3193.4,3300.5,3002.8,NA,3012.5,2050.9
1974,4704.7,4790.4,4550.3,1898.4,4630,2362.3,1189.1,1000.6,3369.6,1750.7,3137.7,2656.3,2077.1,2388.8,1321.7,1693.3,2640.1,2092.5,2288.2,2821.2,485.5,1621.6,1539.2,1530.7,1054.1,885.1,2047.7,1283.5,1578.5,NA,2682.6,2854.8,3062,2268.9,1061.7,2317.8,1113.8,1407.2,1919.6,808.2,668.3,1050.9,3058.6,2819.2,2546.3,1318.9,3113.7,3256.4,2926.4,NA,2692.6,2042.4
